metric,date,value
Canada - outlook on 12 months,2000-10-01,72.1
Number of responses,2000-10-01,1.1
Canada - outlook on 12 months,2001-02-01,64.08142874984388
Number of responses,2001-02-01,1.7211811872761773
Canada - outlook on 12 months,2001-06-01,58.71770103839652
Number of responses,2001-06-01,0.5783105360749108
Canada - outlook on 12 months,2001-10-01,53.25588066551922
Number of responses,2001-10-01,-0.6006090777550099
Canada - outlook on 12 months,2001-12-01,63.65185185185185
Number of responses,2001-12-01,3.468870656260048
Canada - outlook on 12 months,2002-04-01,74.06914893617021
Number of responses,2002-04-01,4.955327882799709
Canada - outlook on 12 months,2002-06-01,71.88318981654811
Number of responses,2002-06-01,2.371875493061526
Canada - outlook on 12 months,2002-09-01,70.49803729146221
Number of responses,2002-09-01,3.6214478071740164
Canada - outlook on 12 months,2002-12-01,71.04570864847089
Number of responses,2002-12-01,3.0241781235153864
Canada - outlook on 12 months,2003-03-01,70.01411100658514
Number of responses,2003-03-01,1.7434108709982965
Canada - outlook on 12 months,2003-06-01,65.23036524230126
Number of responses,2003-06-01,-0.5078896001313837
Canada - outlook on 12 months,2003-09-01,66.42999501743897
Number of responses,2003-09-01,1.2608809275548527
Canada - outlook on 12 months,2003-12-01,70.74115044247787
Number of responses,2003-12-01,3.6328435388641944
Canada - outlook on 12 months,2004-03-01,69.45054945054945
Number of responses,2004-03-01,2.7734564954381424
Canada - outlook on 12 months,2004-06-01,67.20355731225297
Number of responses,2004-06-01,4.832227564105307
Canada - outlook on 12 months,2004-09-01,67.85869094061552
Number of responses,2004-09-01,4.371277462426271
Canada - outlook on 12 months,2004-12-01,68.92327530625403
Number of responses,2004-12-01,2.7537459231335326
Canada - outlook on 12 months,2005-03-01,71.09909909909909
Number of responses,2005-03-01,1.3654792843930563
Canada - outlook on 12 months,2005-06-01,67.5807434491164
Number of responses,2005-06-01,2.939143680234091
Canada - outlook on 12 months,2005-09-01,62.16166788588149
Number of responses,2005-09-01,4.146754319099033
Canada - outlook on 12 months,2005-12-01,64.88764044943821
Number of responses,2005-12-01,4.015755853309222
Canada - outlook on 12 months,2006-03-01,67.11919005982513
Number of responses,2006-03-01,3.979750604986476
Canada - outlook on 12 months,2006-06-01,67.50422297297297
Number of responses,2006-06-01,1.2451260925963492
Canada - outlook on 12 months,2006-09-01,68.07709348692956
Number of responses,2006-09-01,0.5045222029117946
Canada - outlook on 12 months,2006-12-01,66.4103690685413
Number of responses,2006-12-01,1.9542394475342117
Canada - outlook on 12 months,2007-03-01,69.40425531914893
Number of responses,2007-03-01,3.6122745953304225
Canada - outlook on 12 months,2007-06-01,67.32916480571684
Number of responses,2007-06-01,4.237921624751073
Canada - outlook on 12 months,2007-09-01,68.08127572016461
Number of responses,2007-09-01,2.1009903612441594
Canada - outlook on 12 months,2007-12-01,63.92557022809124
Number of responses,2007-12-01,1.1195077427369693
Canada - outlook on 12 months,2008-03-01,62.79748540637629
Number of responses,2008-03-01,-0.745404441215658
Canada - outlook on 12 months,2008-06-01,58.71379479626902
Number of responses,2008-06-01,0.32692744691638076
Canada - outlook on 12 months,2008-09-01,59.8692403486924
Number of responses,2008-09-01,0.022304153903562884
Canada - outlook on 12 months,2008-10-01,45.2463768115942
Number of responses,2008-10-01,-0.1083715656046147
Accounts receivable,2008-10-01,4.463768115942029
